"TERMO","CODIGO","NIVEL","NOTAS","TERMOS_INCLUIDOS","TERMO_LIMPO","URI","URIVersion","PAI_TERMO","PAI_CODIGO","PAI_TERMO_LIMPO","FLAG_OUTRO","FILHOS_LIMPOS"
"Outros em Segurança e Ordem Pública",159,2,"","","outros-em-seguranca-e-ordem-publica","http://vocab.e.gov.br/id/governo#outros-em-seguranca-e-ordem-publica","http://vocab.e.gov.br/id/governo/2014_02#outros-em-seguranca-e-ordem-publica","Segurança e Ordem Pública",29,"seguranca-e-ordem-publica",1,""
"Trabalho",16,1,"Atividades relacionadas ao trabalho. ","","trabalho","http://vocab.e.gov.br/id/governo#trabalho","http://vocab.e.gov.br/id/governo/2014_02#trabalho","Raiz",0,"",0,"empregabilidade, fomento-ao-trabalho, protecao-e-beneficios-ao-trabalhador, relacoes-de-trabalho, outros-em-trabalho"
"Empregabilidade",126,2,"","","empregabilidade","http://vocab.e.gov.br/id/governo#empregabilidade","http://vocab.e.gov.br/id/governo/2014_02#empregabilidade","Trabalho",16,"trabalho",0,""
"Fomento ao Trabalho",131,2,"","","fomento-ao-trabalho","http://vocab.e.gov.br/id/governo#fomento-ao-trabalho","http://vocab.e.gov.br/id/governo/2014_02#fomento-ao-trabalho","Trabalho",16,"trabalho",0,""
"Proteção e Benefícios ao Trabalhador",174,2,"","","protecao-e-beneficios-ao-trabalhador","http://vocab.e.gov.br/id/governo#protecao-e-beneficios-ao-trabalhador","http://vocab.e.gov.br/id/governo/2014_02#protecao-e-beneficios-ao-trabalhador","Trabalho",16,"trabalho",0,""
"Relações de Trabalho",176,2,"","","relacoes-de-trabalho","http://vocab.e.gov.br/id/governo#relacoes-de-trabalho","http://vocab.e.gov.br/id/governo/2014_02#relacoes-de-trabalho","Trabalho",16,"trabalho",0,""
"Outros em Trabalho",160,2,"","","outros-em-trabalho","http://vocab.e.gov.br/id/governo#outros-em-trabalho","http://vocab.e.gov.br/id/governo/2014_02#outros-em-trabalho","Trabalho",16,"trabalho",1,""
"Transportes",30,1,"Atividades relacionadas a transporte, principalmente nacional e internacional. Para transporte urbano veja Urbanismo. ","","transportes","http://vocab.e.gov.br/id/governo#transportes","http://vocab.e.gov.br/id/governo/2014_02#transportes","Raiz",0,"",0,"transporte-aereo, transporte-ferroviario, transporte-hidroviario, transporte-rodoviario, outros-em-transporte"
"Transporte Aéreo",184,2,"","","transporte-aereo","http://vocab.e.gov.br/id/governo#transporte-aereo","http://vocab.e.gov.br/id/governo/2014_02#transporte-aereo","Transportes",30,"transportes",0,""
"Transporte Ferroviário",189,2,"","","transporte-ferroviario","http://vocab.e.gov.br/id/governo#transporte-ferroviario","http://vocab.e.gov.br/id/governo/2014_02#transporte-ferroviario","Transportes",30,"transportes",0,""
"Transporte Hidroviário",185,2,"","","transporte-hidroviario","http://vocab.e.gov.br/id/governo#transporte-hidroviario","http://vocab.e.gov.br/id/governo/2014_02#transporte-hidroviario","Transportes",30,"transportes",0,""
"Transporte Rodoviário",186,2,"","","transporte-rodoviario","http://vocab.e.gov.br/id/governo#transporte-rodoviario","http://vocab.e.gov.br/id/governo/2014_02#transporte-rodoviario","Transportes",30,"transportes",0,""
"Outros em Transporte",161,2,"","","outros-em-transporte","http://vocab.e.gov.br/id/governo#outros-em-transporte","http://vocab.e.gov.br/id/governo/2014_02#outros-em-transporte","Transportes",30,"transportes",1,""
"Urbanismo",31,1,"Atividades relacionadas as cidades, incluindo suas infraestruturas e serviços. ","Cidades, metrópoles, bairros, comunidade. ","urbanismo","http://vocab.e.gov.br/id/governo#urbanismo","http://vocab.e.gov.br/id/governo/2014_02#urbanismo","Raiz",0,"",0,"infraestrutura-urbana, servicos-urbanos, outros-em-urbanismo"
"Infraestrutura Urbana",190,2,"","Ruas, redes elétricas, de águas, esgoto, equipamentos de limpeza","infraestrutura-urbana","http://vocab.e.gov.br/id/governo#infraestrutura-urbana","http://vocab.e.gov.br/id/governo/2014_02#infraestrutura-urbana","Urbanismo",31,"urbanismo",0,""
"Serviços Urbanos",181,2,"","","servicos-urbanos","http://vocab.e.gov.br/id/governo#servicos-urbanos","http://vocab.e.gov.br/id/governo/2014_02#servicos-urbanos","Urbanismo",31,"urbanismo",0,""
"Outros em Urbanismo",162,2,"","","outros-em-urbanismo","http://vocab.e.gov.br/id/governo#outros-em-urbanismo","http://vocab.e.gov.br/id/governo/2014_02#outros-em-urbanismo","Urbanismo",31,"urbanismo",1,""
